review_rank,split,galaxy,filename,cut_category,component_id,probability_mass,max_probability,mean_probability,area_over_beam,velocity_extent_kms,spatial_extent_kpc,edge_touching,velocity_edge_touching,velocity_extent_gt_70kms,review_priority
546,stress,ngc_3031,ngc_3031__std_007185.npy,spatial_offset_16pix__shell_major,1,741.5357666015625,0.9992758631706238,0.8612494468688965,10.62962962962963,43.75,1.0546875,0,0,0,high_confidence_review
547,stress,ngc_3031,ngc_3031__std_002146.npy,spatial_offset_16pix__shell_minor,1,741.186279296875,0.9998387098312378,0.8578544855117798,10.666666666666666,43.75,0.95703125,0,0,0,high_confidence_review
548,test,ngc_7793,ngc_7793__std_000580.npy,spatial_offset_16pix__shell_major,3,741.0455322265625,0.9998502135276794,0.8780160546302795,9.813953488372093,50.0,0.9375,0,0,0,high_confidence_review
549,stress,ngc_3031,ngc_3031__std_008124.npy,spatial_offset_8pix__shell_minor,2,740.8510131835938,0.9990065693855286,0.8624575138092041,10.604938271604938,37.5,1.1328125,0,0,0,high_confidence_review
550,stress,ngc_3031,ngc_3031__std_001038.npy,random_nearby_grazing,3,740.8101806640625,0.9958903789520264,0.7864226698875427,11.62962962962963,41.66666666666667,1.5234375,0,0,0,high_confidence_review
551,stress,ngc_3031,ngc_3031__std_004552.npy,centered_positive__galaxy_major,1,740.7805786132812,0.9998619556427002,0.8603723049163818,10.62962962962963,52.083333333333336,0.859375,0,0,0,high_confidence_review
552,stress,ngc_3031,ngc_3031__std_004413.npy,angle_offset_+45deg,2,740.65673828125,0.9977741837501526,0.8229519128799438,11.11111111111111,60.41666666666667,0.8984375,0,0,0,high_confidence_review
553,stress,ngc_3031,ngc_3031__std_007038.npy,angle_offset_+22.5deg,1,740.582763671875,0.9978294372558594,0.8377633094787598,10.91358024691358,45.833333333333336,1.09375,0,0,0,high_confidence_review
554,stress,ngc_3031,ngc_3031__std_001816.npy,velocity_offset_+15kms,2,740.2742919921875,0.9998233914375305,0.8587868809700012,10.641975308641975,43.75,0.99609375,0,0,0,high_confidence_review
555,stress,ngc_3031,ngc_3031__std_007196.npy,velocity_offset_-30kms,1,739.9703369140625,0.9999816417694092,0.8904576897621155,10.25925925925926,45.833333333333336,0.95703125,0,0,0,high_confidence_review
556,stress,ngc_3031,ngc_3031__std_003451.npy,angle_offset_+45deg,3,739.869140625,0.9808191061019897,0.7879330515861511,11.592592592592593,33.333333333333336,1.46484375,0,0,0,high_confidence_review
557,stress,ngc_3031,ngc_3031__std_000869.npy,spatial_offset_4pix__shell_minor,2,739.8424072265625,0.9958436489105225,0.7845624685287476,11.641975308641975,58.333333333333336,1.25,0,0,0,high_confidence_review
558,test,ho_ii,ho_ii__std_000182.npy,centered_positive__shell_major,1,739.6700439453125,0.9999953508377075,0.8890265226364136,9.563218390804598,41.66666666666667,0.9375,0,0,0,high_confidence_review
559,test,ngc_3184,ngc_3184__std_000604.npy,spatial_offset_8pix__shell_major,3,739.5687255859375,0.9998923540115356,0.8741946816444397,31.333333333333332,45.833333333333336,0.91796875,0,0,0,high_confidence_review
560,stress,ngc_3031,ngc_3031__std_000742.npy,spatial_offset_16pix__shell_minor,4,739.0462646484375,0.9868927597999573,0.7730609178543091,11.802469135802468,54.16666666666667,1.3671875,0,0,0,high_confidence_review
561,val,ngc_4449,ngc_4449__std_000426.npy,spatial_offset_4pix__shell_minor,1,738.78759765625,0.9994580745697021,0.8600553870201111,3.9585253456221197,47.91666666666667,0.95703125,0,0,0,medium_confidence_review
562,test,ho_ii,ho_ii__std_000997.npy,spatial_offset_16pix__shell_major,1,738.476806640625,0.994206964969635,0.8159964680671692,10.402298850574713,31.250000000000004,1.484375,0,0,0,high_confidence_review
563,val,ngc_2366,ngc_2366__std_000377.npy,spatial_offset_8pix__shell_minor,1,738.27978515625,0.9998896718025208,0.8675438165664673,10.772151898734178,45.833333333333336,0.8984375,0,0,0,high_confidence_review
564,stress,ngc_3031,ngc_3031__std_006276.npy,spatial_offset_4pix__shell_minor,1,737.9370727539062,0.9961885213851929,0.8282122015953064,11.0,54.16666666666667,0.8203125,0,0,0,high_confidence_review
565,test,ngc_3184,ngc_3184__std_000563.npy,angle_offset_-22.5deg,1,737.6023559570312,0.9997231960296631,0.8497722744941711,32.148148148148145,41.66666666666667,1.0546875,0,0,0,high_confidence_review
566,stress,ngc_3031,ngc_3031__std_001814.npy,velocity_offset_-30kms,2,736.9763793945312,0.99982088804245,0.8629699945449829,10.54320987654321,45.833333333333336,0.9765625,0,0,0,high_confidence_review
567,stress,ngc_3031,ngc_3031__std_001567.npy,spatial_offset_8pix__shell_major,2,736.6600341796875,0.9997845888137817,0.8615906834602356,10.555555555555555,43.75,0.9765625,0,0,0,high_confidence_review
568,stress,ngc_3031,ngc_3031__std_007183.npy,spatial_offset_8pix__shell_major,1,736.4317016601562,0.9999393224716187,0.88089919090271,10.320987654320987,41.66666666666667,0.9375,0,0,0,high_confidence_review
569,stress,ngc_3031,ngc_3031__std_003371.npy,angle_offset_-22.5deg,1,735.9903564453125,0.9984616041183472,0.8459659218788147,10.74074074074074,39.583333333333336,1.15234375,0,0,0,high_confidence_review
570,test,ho_ii,ho_ii__std_000301.npy,spatial_offset_16pix__shell_minor,1,735.9862670898438,0.9988507032394409,0.857792854309082,9.862068965517242,37.5,1.171875,0,0,0,high_confidence_review
571,stress,ngc_3031,ngc_3031__std_005200.npy,centered_positive__shell_major,3,735.5379028320312,0.9996232986450195,0.8348897695541382,10.876543209876543,37.5,1.19140625,0,0,0,high_confidence_review
572,stress,ngc_3031,ngc_3031__std_007091.npy,angle_offset_+45deg,2,735.3692016601562,0.9998931884765625,0.8796282410621643,10.320987654320987,47.91666666666667,0.859375,0,0,0,high_confidence_review
573,stress,ngc_3031,ngc_3031__std_007536.npy,velocity_offset_+15kms,2,734.8233032226562,0.9981964826583862,0.8495067358016968,10.679012345679013,41.66666666666667,1.015625,0,0,0,high_confidence_review
