component_id,threshold,area_pix,max_probability,mean_probability,integrated_probability_mass,bbox_v0,bbox_pos0,bbox_v1,bbox_pos1,centroid_v,centroid_pos,aspect_ratio_pos_over_vel,major_extent_pix,minor_extent_pix,distance_from_image_edge_pix,edge_touching,velocity_extent_kms,spatial_extent_pix,spatial_extent_native,has_pos_axis_metadata,component_count_in_patch,largest_component_area_pix,galaxy,patch_id,patch_name,source_type,source,shell_id,orientation,offset_fraction,pv_cut_center,pv_cut_angle,velocity_extent_plausibility_warning,edge_artifact_warning
3,0.075,14,0.0965404137969017,0.08493424952030182,1.1890795230865479,18,60,23,62,20.5,61.142857142857146,0.5,6,3,2,False,15461.34375,3,3.0,True,3,244,ddo53,ddo53__cat_T2_S0002_galaxy_minor_om0p50,ddo53__cat_T2_S0002_galaxy_minor_om0p50.npy,catalog_shell,catalog_augmented,2,galaxy_minor,-0.5,"[501.3134688829773, 477.0676114863088]",galaxy_minor,True,False
1,0.075,169,0.43536293506622314,0.2146734595298767,36.279815673828125,8,0,20,18,14.994082840236686,7.3609467455621305,1.4615384615384615,19,13,0,True,33499.578125,19,19.0,True,3,216,ddo53,ddo53__cat_T2_S0002_galaxy_minor_op0p00,ddo53__cat_T2_S0002_galaxy_minor_op0p00.npy,catalog_shell,catalog_augmented,2,galaxy_minor,0.0,"[499.1660516466073, 479.0011546507313]",galaxy_minor,True,True
2,0.075,216,0.9687333703041077,0.4752286374568939,102.64938354492188,11,22,24,40,17.39814814814815,31.96759259259259,1.3571428571428572,19,14,11,False,36076.46875,19,19.0,True,3,216,ddo53,ddo53__cat_T2_S0002_galaxy_minor_op0p00,ddo53__cat_T2_S0002_galaxy_minor_op0p00.npy,catalog_shell,catalog_augmented,2,galaxy_minor,0.0,"[499.1660516466073, 479.0011546507313]",galaxy_minor,True,False
3,0.075,18,0.0989764928817749,0.08948731422424316,1.610771656036377,18,59,23,62,20.88888888888889,60.833333333333336,0.6666666666666666,6,4,2,False,15461.34375,4,4.0,True,3,216,ddo53,ddo53__cat_T2_S0002_galaxy_minor_op0p00,ddo53__cat_T2_S0002_galaxy_minor_op0p00.npy,catalog_shell,catalog_augmented,2,galaxy_minor,0.0,"[499.1660516466073, 479.0011546507313]",galaxy_minor,True,False
1,0.075,364,0.8997363448143005,0.28468242287635803,103.62440490722656,9,0,23,40,16.12912087912088,20.38186813186813,2.7333333333333334,41,15,0,True,38653.359375,41,41.0,True,2,364,ddo53,ddo53__cat_T2_S0002_galaxy_minor_op0p50,ddo53__cat_T2_S0002_galaxy_minor_op0p50.npy,catalog_shell,catalog_augmented,2,galaxy_minor,0.5,"[497.01863441023727, 480.93469781515375]",galaxy_minor,True,True
2,0.075,27,0.11416659504175186,0.09407126158475876,2.539924144744873,18,58,24,62,20.88888888888889,60.25925925925926,0.7142857142857143,7,5,2,False,18038.234375,5,5.0,True,2,364,ddo53,ddo53__cat_T2_S0002_galaxy_minor_op0p50,ddo53__cat_T2_S0002_galaxy_minor_op0p50.npy,catalog_shell,catalog_augmented,2,galaxy_minor,0.5,"[497.01863441023727, 480.93469781515375]",galaxy_minor,True,False
1,0.075,394,0.9193589687347412,0.3227081000804901,127.14698791503906,11,0,23,40,17.47969543147208,20.779187817258883,3.1538461538461537,41,13,0,True,33499.578125,41,41.0,True,1,394,ddo53,ddo53__cat_T2_S0002_shell_major_om0p50,ddo53__cat_T2_S0002_shell_major_om0p50.npy,catalog_shell,catalog_augmented,2,shell_major,-0.5,"[497.1641592534009, 477.7502334483962]",shell_major,True,True
1,0.075,429,0.9582507610321045,0.3254510462284088,139.61849975585938,12,0,24,40,18.414918414918414,20.335664335664337,3.1538461538461537,41,13,0,True,33499.578125,41,41.0,True,1,429,ddo53,ddo53__cat_T2_S0002_shell_major_op0p00,ddo53__cat_T2_S0002_shell_major_op0p00.npy,catalog_shell,catalog_augmented,2,shell_major,0.0,"[499.1660516466073, 479.0011546507313]",shell_major,True,True
1,0.075,474,0.9356889128684998,0.3044454753398895,144.30715942382812,13,0,26,46,19.559071729957807,21.79746835443038,3.357142857142857,47,14,0,True,36076.46875,47,47.0,True,1,474,ddo53,ddo53__cat_T2_S0002_shell_major_op0p50,ddo53__cat_T2_S0002_shell_major_op0p50.npy,catalog_shell,catalog_augmented,2,shell_major,0.5,"[501.1679440398137, 480.25207585306634]",shell_major,True,True
1,0.075,462,0.9605218172073364,0.35463711619377136,163.84234619140625,9,0,24,42,16.75974025974026,21.5974025974026,2.6875,43,16,0,True,41230.25,43,43.0,True,2,462,ddo53,ddo53__cat_T2_S0002_shell_minor_om0p50,ddo53__cat_T2_S0002_shell_minor_om0p50.npy,catalog_shell,catalog_augmented,2,shell_minor,-0.5,"[500.72970314952613, 476.4987891592233]",shell_minor,True,True
