split,stage,filename,galaxy,cut_category,shell_id,mask_pixels,n_components_before,max_area_over_beam,max_probability_mass,any_velocity_edge_touching,metadata_path,image_path,mask_path
stress,after_beam_velocity_extent_edge_filter,ngc_3031__std_004257.npy,ngc_3031,angle_offset_+45deg,164,105,1,7.753086419753086,500.63787841796875,1,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/pv/ngc_3031__std_004257.json,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/pv/ngc_3031__std_004257.npy,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/labels/ngc_3031__std_004257.npy
stress,after_beam_velocity_extent_edge_filter,ngc_3031__std_004318.npy,ngc_3031,centered_positive__galaxy_major,167,60,2,5.777777777777778,356.5129699707031,1,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/pv/ngc_3031__std_004318.json,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/pv/ngc_3031__std_004318.npy,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/labels/ngc_3031__std_004318.npy
stress,after_beam_velocity_extent_edge_filter,ngc_3031__std_004329.npy,ngc_3031,spatial_offset_8pix__shell_minor,167,22,1,6.283950617283951,423.90814208984375,1,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/pv/ngc_3031__std_004329.json,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/pv/ngc_3031__std_004329.npy,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/labels/ngc_3031__std_004329.npy
stress,after_beam_velocity_extent_edge_filter,ngc_3031__std_004345.npy,ngc_3031,centered_positive__galaxy_minor,168,102,1,4.716049382716049,260.8185729980469,1,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/pv/ngc_3031__std_004345.json,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/pv/ngc_3031__std_004345.npy,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/labels/ngc_3031__std_004345.npy
stress,after_beam_velocity_extent_edge_filter,ngc_3031__std_004358.npy,ngc_3031,angle_offset_-45deg,168,105,1,4.654320987654321,271.94818115234375,1,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/pv/ngc_3031__std_004358.json,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/pv/ngc_3031__std_004358.npy,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/labels/ngc_3031__std_004358.npy
stress,after_beam_velocity_extent_edge_filter,ngc_3031__std_004369.npy,ngc_3031,centered_positive__shell_minor,169,46,1,6.432098765432099,432.33819580078125,1,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/pv/ngc_3031__std_004369.json,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/pv/ngc_3031__std_004369.npy,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/labels/ngc_3031__std_004369.npy
stress,after_beam_velocity_extent_edge_filter,ngc_3031__std_004370.npy,ngc_3031,centered_positive__galaxy_major,169,60,2,6.728395061728395,443.2171630859375,1,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/pv/ngc_3031__std_004370.json,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/pv/ngc_3031__std_004370.npy,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/labels/ngc_3031__std_004370.npy
stress,after_beam_velocity_extent_edge_filter,ngc_3031__std_004379.npy,ngc_3031,spatial_offset_4pix__shell_minor,169,259,1,6.6419753086419755,441.1884765625,1,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/pv/ngc_3031__std_004379.json,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/pv/ngc_3031__std_004379.npy,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/labels/ngc_3031__std_004379.npy
stress,after_beam_velocity_extent_edge_filter,ngc_3031__std_004380.npy,ngc_3031,spatial_offset_8pix__shell_minor,169,50,2,5.925925925925926,387.66839599609375,1,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/pv/ngc_3031__std_004380.json,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/pv/ngc_3031__std_004380.npy,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/labels/ngc_3031__std_004380.npy
stress,after_beam_velocity_extent_edge_filter,ngc_3031__std_004384.npy,ngc_3031,angle_offset_-45deg,169,18,2,3.8271604938271606,243.56814575195312,1,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/pv/ngc_3031__std_004384.json,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/pv/ngc_3031__std_004384.npy,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/labels/ngc_3031__std_004384.npy
