split,galaxy,cut_category,threshold,patches,positive_patches,negative_patches,patch_tp,patch_fp,patch_fn,patch_tn,pixel_tp,pixel_fp,pixel_fn,patch_precision,patch_recall,patch_f1,pixel_precision,pixel_recall,pixel_f1
test,ho_ii,spatial_offset_16pix__shell_minor,0.075,160,134,26,134,26,0,0,32752,97384,35056,0.8375,1.0,0.9115646258503401,0.2516751705907666,0.48301085417649836,0.3309218768944752
test,ho_ii,spatial_offset_4pix__shell_major,0.05,160,160,0,160,0,0,0,53612,98528,36280,1.0,1.0,1.0,0.35238596029972397,0.5964045743781426,0.443015799563694
test,ho_ii,spatial_offset_4pix__shell_major,0.075,160,160,0,160,0,0,0,52984,95464,36908,1.0,1.0,1.0,0.35691959474024576,0.5894184132069594,0.44460854241839387
test,ho_ii,spatial_offset_4pix__shell_minor,0.05,160,160,0,160,0,0,0,45502,97714,36254,1.0,1.0,1.0,0.31771589766506536,0.5565585400459905,0.40451256156321674
test,ho_ii,spatial_offset_4pix__shell_minor,0.075,160,160,0,160,0,0,0,45000,94660,36756,1.0,1.0,1.0,0.32221108406129173,0.5504183179216204,0.4064746901759584
test,ho_ii,spatial_offset_8pix__shell_major,0.05,160,158,2,158,2,0,0,45686,103650,30882,0.9875,1.0,0.9937106918238994,0.3059275727219157,0.5966722390554801,0.40447269636659816
test,ho_ii,spatial_offset_8pix__shell_major,0.075,160,158,2,158,2,0,0,45110,100650,31458,0.9875,1.0,0.9937106918238994,0.3094813391877058,0.5891495141573503,0.405796840703825
test,ho_ii,spatial_offset_8pix__shell_minor,0.05,160,156,4,156,4,0,0,40176,101994,35172,0.975,1.0,0.9873417721518987,0.28259126397974255,0.5332059245102724,0.36940391140043577
test,ho_ii,spatial_offset_8pix__shell_minor,0.075,160,156,4,156,4,0,0,39654,99064,35694,0.975,1.0,0.9873417721518987,0.2858605227872374,0.5262780697563306,0.37048386946082046
test,ho_ii,velocity_offset_+15kms,0.05,80,80,0,80,0,0,0,28910,47070,18462,1.0,1.0,1.0,0.38049486707028163,0.6102761124715022,0.46873986639859905
test,ho_ii,velocity_offset_+15kms,0.075,80,80,0,80,0,0,0,28602,45566,18770,1.0,1.0,1.0,0.3856380110020494,0.6037743814911762,0.4706598650649992
test,ho_ii,velocity_offset_+30kms,0.05,80,80,0,80,0,0,0,28894,46922,18478,1.0,1.0,1.0,0.38110689036614964,0.6099383602127839,0.46910413351949865
test,ho_ii,velocity_offset_+30kms,0.075,80,80,0,80,0,0,0,28580,45432,18792,1.0,1.0,1.0,0.38615359671404637,0.6033099721354387,0.47090226059447704
test,ho_ii,velocity_offset_-15kms,0.05,80,80,0,80,0,0,0,28992,47184,18380,1.0,1.0,1.0,0.38059231253938247,0.612007092797433,0.46932366367727524
